,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter
158,Christoph Kramer,,32,1.91,Germany,Solingen,2.5,14,midfield - Defensive Midfield,6,right,Bor. M'gladbach,30/06/2025,01/07/2016,ROOF,adidas
159,Manu Koné,Kouadio Manu Koné,21,1.85,France,Colombes,30,30,midfield - Central Midfield,17,right,Bor. M'gladbach,30/06/2025,21/01/2021,Classico,adidas
160,Florian Neuhaus,Florian Christian Neuhaus,26,1.85,Germany,Landsberg am Lech,15,38,midfield - Central Midfield,32,right,Bor. M'gladbach,30/06/2024,01/07/2017,CN Sports,
161,Oscar Fraulo,Oscar Luigi Fraulo,19,1.8,Denmark,Odense,2,2,midfield - Central Midfield,22,right,Bor. M'gladbach,30/06/2026,01/07/2022,NINE Group,Nike
162,Lars Stindl,Lars Edi Stindl,34,1.81,Germany,Speyer,2.5,18,midfield - Attacking Midfield,13,right,Bor. M'gladbach,30/06/2023,01/07/2015,Dirk Hebel,
163,Conor Noß,,22,1.81,Ireland,Düsseldorf,0.7,0.7,midfield - Attacking Midfield,34,both,Bor. M'gladbach,30/06/2024,01/07/2021,B360 Sports,adidas
164,Alassane Plea,Alassane Alexandre Plea,30,1.81,France,Lille,10,38,Attack - Left Winger,14,right,Bor. M'gladbach,30/06/2025,13/07/2018,SMI SPORTS ...,
165,Hannes Wolf,Hannes Tarn Wolf,24,1.79,Austria,Graz,4,12,Attack - Left Winger,11,left,Bor. M'gladbach,30/06/2024,01/07/2021,HCM Sports ...,
166,Yvandro Borges Sanches,,18,1.75,Luxembourg,Luxemburg,1.5,1.5,Attack - Left Winger,38,right,Bor. M'gladbach,30/06/2025,01/07/2022,Wasserman,Puma
167,Jonas Hofmann,,30,1.76,Germany,Heidelberg,13,16,Attack - Right Winger,23,right,Bor. M'gladbach,30/06/2025,01/01/2016,Dr. Marco Gutfleisch,
168,Nathan Ngoumou,Nathan Ngoumou Minpole,23,1.83,France,Toulouse,5,7,Attack - Right Winger,19,right,Bor. M'gladbach,30/06/2027,30/08/2022,NexSt11,Puma
169,Patrick Herrmann,,32,1.79,Germany,Uchtelfangen,2,12,Attack - Right Winger,7,right,Bor. M'gladbach,30/06/2024,01/01/2010,PRO Profil GmbH,Puma
170,Marcus Thuram,Marcus Lilian Thuram-Ulien,25,1.92,France,Parma,32,40,Attack - Centre-Forward,10,right,Bor. M'gladbach,30/06/2023,22/07/2019,Sport Cover,Nike
171,Koen Casteels,,30,1.97,Belgium,Bonheiden,8,14,Goalkeeper,1,left,VfL Wolfsburg,30/06/2024,21/01/2015,Relatives,Nike
172,Pavao Pervan,,35,1.94,Austria,Livno,0.4,0.8,Goalkeeper,12,both,VfL Wolfsburg,30/06/2024,01/07/2018,ROOF,
173,Philipp Schulze,,20,1.9,Germany,,0.2,0.2,Goalkeeper,35,right,VfL Wolfsburg,30/06/2026,01/07/2021,PRO Profil GmbH,adidas
174,Niklas Klinger,,27,1.87,Germany,Wolfsburg,0.1,0.1,Goalkeeper,30,right,VfL Wolfsburg,30/06/2025,01/07/2019,TPWE GmbH,
175,Maxence Lacroix,,23,1.9,France,Villeneuve-Saint-Georges,20,28,Defender - Centre-Back,4,right,VfL Wolfsburg,30/06/2025,25/08/2020,Hexagon,
176,Micky van de Ven,,22,1.93,Netherlands,Wormer,18,18,Defender - Centre-Back,5,left,VfL Wolfsburg,30/06/2027,31/08/2021,Team Raiola,
177,Sebastiaan Bornauw,,24,1.91,Belgium,Wemmel,8.5,14,Defender - Centre-Back,3,right,VfL Wolfsburg,30/06/2026,16/07/2021,CAA Stellar,adidas
178,Paulo Otávio,,28,1.73,Brazil,Ourinhos,6.5,8,Defender - Left-Back,6,left,VfL Wolfsburg,30/06/2023,01/07/2019,TFM Agency,
179,Nicolas Cozza,Nicolas Louis Marcel Cozza,24,1.78,France,Ganges,5,5,Defender - Left-Back,8,left,VfL Wolfsburg,30/06/2027,25/01/2023,,
180,Ridle Baku,Bote Nzuzi Baku,25,1.76,Germany,Mainz,13,25,Defender - Right-Back,20,right,VfL Wolfsburg,30/06/2025,01/10/2020,AKA Global GmbH,adidas
181,Kilian Fischer,,22,1.82,Germany,Miltenberg,2,2,Defender - Right-Back,2,both,VfL Wolfsburg,30/06/2027,01/07/2022,Robert Schneider,
182,Bartol Franjic,Bartol Franjić,23,1.88,Croatia,Zagreb,4,6.5,midfield - Defensive Midfield,38,left,VfL Wolfsburg,30/06/2027,01/07/2022,Kostila,
183,Josuha Guilavogui,,32,1.88,France,Toulon,3,14,midfield - Defensive Midfield,29,right,VfL Wolfsburg,30/06/2023,01/07/2016,Relatives,
184,Maximilian Arnold,,28,1.84,Germany,Riesa,17,19,midfield - Central Midfield,27,left,VfL Wolfsburg,30/06/2026,01/01/2012,Karl M. Herzog ...,
185,Mattias Svanberg,Mattias Olof Svanberg,24,1.85,Sweden,Malmö,15,15,midfield - Central Midfield,32,right,VfL Wolfsburg,30/06/2027,16/07/2022,MD Management,
186,Yannick Gerhardt,,29,1.84,Germany,Würselen,7,12,midfield - Central Midfield,31,left,VfL Wolfsburg,30/06/2025,01/07/2016,Stephan Engels,
187,Kevin Paredes,Kevin Alexander Paredes,20,1.7,United States,"South Riding, Virginia",5,5,midfield - Left Midfield,40,left,VfL Wolfsburg,30/06/2026,28/01/2022,,
188,Felix Nmecha,,22,1.9,Germany,Hamburg,8,8,midfield - Attacking Midfield,22,right,VfL Wolfsburg,30/06/2024,21/07/2021,,
189,Jakub Kaminski,Jakub Kamiński,20,1.79,Poland,Ruda Śląska,10,10,Attack - Left Winger,16,right,VfL Wolfsburg,30/06/2027,01/07/2022,BMG-SPORT,adidas
190,Patrick Wimmer,,21,1.82,Austria,Tulln,12,12,Attack - Right Winger,39,right,VfL Wolfsburg,30/06/2027,01/07/2022,More than Sport GmbH,Puma
191,Luca Waldschmidt,Gian-Luca Waldschmidt,26,1.81,Germany,Siegen,3,20,Attack - Second Striker,7,left,VfL Wolfsburg,30/06/2025,22/08/2021,Sports360 GmbH,
192,Lukas Nmecha,Lukas Okechukwu Nmecha,24,1.85,Germany,Hamburg,14,18,Attack - Centre-Forward,10,right,VfL Wolfsburg,30/06/2025,16/07/2021,,
193,Jonas Wind,Jonas Older Wind,24,1.9,Denmark,Hvidovre,14,14,Attack - Centre-Forward,23,right,VfL Wolfsburg,30/06/2026,31/01/2022,People In Sport,
194,Omar Marmoush,عمر مرموش | Omar Khaled Mohamed Marmoush,24,1.83,Egypt,Kairo,6,6,Attack - Centre-Forward,33,right,VfL Wolfsburg,30/06/2023,01/07/2020,CAA Stellar,
195,Dzenan Pejcinovic,Dženan Pejčinović,18,1.88,Germany,München,1,1,Attack - Centre-Forward,18,left,VfL Wolfsburg,30/06/2027,14/07/2022,Karl M. Herzog ...,
196,Mark Flekken,,29,1.95,Netherlands,Bocholtz,7,7,Goalkeeper,26,both,SC Freiburg,,01/07/2018,SEG,
197,Noah Atubolu,,20,1.9,Germany,Freiburg im Breisgau,2,2,Goalkeeper,21,right,SC Freiburg,,01/07/2021,Unique Sports Group,
198,Benjamin Uphoff,,29,1.92,Germany,Burghausen,0.5,0.6,Goalkeeper,1,right,SC Freiburg,,05/08/2020,Karl M. Herzog ...,
199,Philipp Lienhart,,26,1.89,Austria,Lilienfeld,20,20,Defender - Centre-Back,3,right,SC Freiburg,30/06/2024,01/07/2018,YOU FIRST,Nike
200,Matthias Ginter,Matthias Lukas Ginter,29,1.91,Germany,Freiburg im Breisgau,20,35,Defender - Centre-Back,28,right,SC Freiburg,30/06/2027,01/07/2022,Unique Sports Group,
201,Manuel Gulde,,32,1.84,Germany,Mannheim,1.7,4,Defender - Centre-Back,5,right,SC Freiburg,,01/07/2016,Unique Sports Group,
202,Kenneth Schmidt,Tan-Kenneth Jerico Leka-Schmidt,20,1.87,Germany,Freiburg im Breisgau,0.75,0.75,Defender - Centre-Back,35,left,SC Freiburg,,01/01/2023,Relatives,
203,Christian Günter,,30,1.84,Germany,Villingen-Schwenningen,10,12,Defender - Left-Back,30,left,SC Freiburg,,01/07/2012,Unique Sports Group,
204,Kimberly Ezekwem,Kimberly Chiwetalu Akwaeze Ezekwem,21,1.87,Germany,München,0.35,0.35,Defender - Left-Back,24,left,SC Freiburg,,01/07/2021,CN Sports,
205,Kiliann Sildillia,Kiliann Eric Sildillia,20,1.86,France,Montigny-lès-Metz,12,12,Defender - Right-Back,25,right,SC Freiburg,30/06/2026,01/07/2021,ROGON,
206,Lukas Kübler,,30,1.82,Germany,Bonn,3,3,Defender - Right-Back,17,right,SC Freiburg,,01/07/2015,ROOF,
207,Jonathan Schmid,,32,1.79,France,Strasbourg,1.2,5,Defender - Right-Back,7,right,SC Freiburg,,01/07/2019,Unique Sports Group,
208,Yannik Keitel,,23,1.86,Germany,Breisach am Rhein,4,4,midfield - Defensive Midfield,14,both,SC Freiburg,30/06/2024,16/04/2020,Unique Sports Group,
209,Nicolas Höfler,,33,1.81,Germany,Überlingen,2.5,4.5,midfield - Defensive Midfield,27,right,SC Freiburg,,01/07/2010,,
210,Maximilian Eggestein,,26,1.81,Germany,Hannover,8,30,midfield - Central Midfield,8,right,SC Freiburg,30/06/2025,18/08/2021,ROOF,
211,Merlin Röhl,,20,1.92,Germany,Berlin,2,2,midfield - Central Midfield,34,both,SC Freiburg,,17/08/2022,sportlobby,
212,Robert Wagner,,19,1.81,Germany,Lahr,0.9,0.9,midfield - Central Midfield,23,right,SC Freiburg,30/06/2024,01/07/2022,VIDA 11,
213,Daniel-Kofi Kyereh,,27,1.79,Ghana,Accra,8,8,midfield - Attacking Midfield,11,right,SC Freiburg,,01/07/2022,Alfaria sports GmbH,
214,Vincenzo Grifo,,30,1.8,Italy,Pforzheim,12,12,Attack - Left Winger,32,right,SC Freiburg,,02/09/2019,ROOF,
215,Noah Weißhaupt,Noah Raphael Weißhaupt,21,1.81,Germany,Rostock,2.5,2.5,Attack - Left Winger,33,right,SC Freiburg,,01/07/2021,Unique Sports Group,Puma
216,Ritsu Doan,堂安 律,24,1.72,Japan,"Amagasaki, Hyogo",15,15,Attack - Right Winger,42,left,SC Freiburg,,05/07/2022,CAA Stellar,Puma
217,Roland Sallai,,25,1.83,Hungary,Budapest,10,16,Attack - Right Winger,22,both,SC Freiburg,30/06/2025,31/08/2018,World Soccer Agency,Nike
218,Woo-yeong Jeong,정우영,23,1.79,South Korea,Ulsan,4,5.5,Attack - Second Striker,29,right,SC Freiburg,30/06/2025,01/07/2019,Apertura Sports GmbH,
219,Michael Gregoritsch,,29,1.93,Austria,Graz,8,20,Attack - Centre-Forward,38,left,SC Freiburg,,08/07/2022,ROGON,adidas
220,Lucas Höler,,28,1.84,Germany,Achim,5,6.5,Attack - Centre-Forward,9,right,SC Freiburg,,01/01/2018,Unique Sports Group,
221,Nils Petersen,,34,1.88,Germany,Wernigerode,1.5,12,Attack - Centre-Forward,18,right,SC Freiburg,30/06/2023,01/07/2015,Relatives,adidas
222,Oliver Baumann,,32,1.87,Germany,Breisach am Rhein,4.5,10,Goalkeeper,1,right,TSG Hoffenheim,30/06/2024,01/07/2014,CN Sports,adidas
223,Philipp Pentke,,38,1.91,Germany,Freiberg,0.3,0.4,Goalkeeper,12,right,TSG Hoffenheim,30/06/2023,01/07/2019,Bigpoint,HashtagOne
224,Luca Philipp,,22,1.92,Germany,Stuttgart,0.3,0.3,Goalkeeper,37,right,TSG Hoffenheim,30/06/2024,31/07/2020,Relatives,
225,Nahuel Noll,Nahuel Nicolas Noll,20,1.88,Germany,München,0.25,0.25,Goalkeeper,36,both,TSG Hoffenheim,30/06/2025,01/07/2021,VIDA 11,
226,Ozan Kabak,Ozan Muhammed Kabak,23,1.87,Turkey,Ankara,10,32,Defender - Centre-Back,5,right,TSG Hoffenheim,30/06/2026,23/07/2022,F-F SPORT,Nike
227,Stanley Nsoki,Stanley Pierre Nsoki,24,1.84,France,Poissy,8.5,12,Defender - Centre-Back,34,left,TSG Hoffenheim,30/06/2027,03/08/2022,ROGON,
228,Kevin Akpoguma,Kevin John Ufuoma Akpoguma,28,1.92,Nigeria,Neustadt an der Weinstraße,4,12,Defender - Centre-Back,25,right,TSG Hoffenheim,30/06/2024,01/07/2013,Unique Sports Group,adidas
229,Kevin Vogt,,31,1.94,Germany,Witten,3.5,17,Defender - Centre-Back,22,right,TSG Hoffenheim,30/06/2025,01/07/2016,ROOF,
230,John Anthony Brooks,,30,1.94,United States,Berlin,3,15,Defender - Centre-Back,23,left,TSG Hoffenheim,30/06/2024,26/01/2023,ROGON,
231,Eduardo Quaresma,Eduardo Filipe Quaresma Vieira Coimbra Simões,21,1.85,Portugal,Barreiro,3,7,Defender - Centre-Back,26,right,TSG Hoffenheim,30/06/2023,04/08/2022,Proeleven S.A.,adidas
232,Ermin Bicakcic,Ermin Bičakčić,33,1.85,Bosnia-Herzegovina,Zvornik,1,4,Defender - Centre-Back,4,right,TSG Hoffenheim,30/06/2023,01/07/2014,Sport Business ...,adidas
233,Angeliño,,26,1.71,Spain,Coristanco,14,35,Defender - Left-Back,11,left,TSG Hoffenheim,30/06/2023,08/08/2022,VIDA 11,Nike
234,Pavel Kaderabek,Pavel Kadeřábek,31,1.82,Czech Republic,Praha,4,20,Defender - Right-Back,3,right,TSG Hoffenheim,30/06/2025,01/07/2015,no agent,
235,Justin Che,Justin Isiah Che,19,1.85,United States,"Richardson, Texas",2,3,Defender - Right-Back,24,right,TSG Hoffenheim,30/06/2023,18/01/2023,CAA Stellar,Nike
236,Angelo Stiller,,22,1.83,Germany,München,6,7,midfield - Defensive Midfield,13,left,TSG Hoffenheim,30/06/2025,01/07/2021,Gol International,
237,Sebastian Rudy,,33,1.8,Germany,Villingen-Schwenningen,1.5,15,midfield - Defensive Midfield,16,right,TSG Hoffenheim,30/06/2023,01/07/2021,Relatives,Nike
238,Dennis Geiger,,24,1.73,Germany,Mosbach,9,13,midfield - Central Midfield,8,right,TSG Hoffenheim,30/06/2027,01/07/2016,WINStar Management,
239,Grischa Prömel,,28,1.84,Germany,Stuttgart,7.5,7.5,midfield - Central Midfield,6,right,TSG Hoffenheim,30/06/2026,01/07/2022,Unique Sports Group,
240,Thomas Delaney,Thomas Joseph Delaney,31,1.82,Denmark,Frederiksberg,3,27,midfield - Central Midfield,17,left,TSG Hoffenheim,30/06/2023,30/01/2023,Elite Sports ...,
241,Finn Ole Becker,,22,1.77,Germany,Elmshorn,1,2.5,midfield - Central Midfield,20,left,TSG Hoffenheim,30/06/2026,01/07/2022,Sports360 GmbH,
242,Umut Tohumcu,Umut Deger Tohumcu,18,1.75,Germany,Offenburg,1,1,midfield - Central Midfield,40,both,TSG Hoffenheim,30/06/2026,18/01/2023,ROGON,adidas
243,Robert Skov,Robert Faxe Skov,26,1.85,Denmark,Marbella,9,14,midfield - Right Midfield,29,left,TSG Hoffenheim,30/06/2024,29/07/2019,Elite Sports ...,
244,Christoph Baumgartner,,23,1.8,Austria,Horn,20,22,midfield - Attacking Midfield,14,right,TSG Hoffenheim,30/06/2025,15/01/2019,YOU FIRST,
245,Tom Bischof,,17,1.76,Germany,Aschaffenburg,3.5,3.5,midfield - Attacking Midfield,39,left,TSG Hoffenheim,30/06/2025,01/07/2021,Agent is known - Player under 18,
246,Muhammed Damar,Muhammed Mehmet Damar,19,1.85,Germany,Berlin,1,1,midfield - Attacking Midfield,35,both,TSG Hoffenheim,30/06/2026,01/07/2022,EMG Mundial,
247,Jacob Bruun Larsen,,24,1.83,Denmark,Lyngby,4,20,Attack - Left Winger,7,right,TSG Hoffenheim,30/06/2024,31/01/2020,Boutique Transfers,Nike
248,Kasper Dolberg,Kasper Dolberg Rasmussen,25,1.87,Denmark,Silkeborg,9,23,Attack - Centre-Forward,19,right,TSG Hoffenheim,30/06/2023,02/01/2023,Rafaela Pimenta,adidas
249,Andrej Kramaric,Andrej Kramarić,31,1.77,Croatia,Zagreb,9,38,Attack - Centre-Forward,27,right,TSG Hoffenheim,30/06/2025,01/07/2016,,adidas
250,Ihlas Bebou,,29,1.83,Togo,Aledjo Kadara,7,16,Attack - Centre-Forward,9,right,TSG Hoffenheim,30/06/2026,01/07/2019,Wasserman,
251,Munas Dabbur,מואנס דאבור,30,1.82,Israel,Nazareth,4,15,Attack - Centre-Forward,10,right,TSG Hoffenheim,30/06/2024,07/01/2020,Soccer Mondial AG,Nike
252,Fisnik Asllani,,20,1.88,Germany,Berlin,0.8,0.8,Attack - Centre-Forward,44,both,TSG Hoffenheim,30/06/2026,04/01/2022,ROGON,
253,Frederik Rönnow,Frederik Riis Rønnow,30,1.88,Denmark,Horsens,3.5,3.5,Goalkeeper,1,right,Union Berlin,30/06/2024,20/07/2021,Boutique Transfers,adidas
254,Lennart Grill,Hannes Lennart Grill,24,1.92,Germany,Idar-Oberstein,1,1.5,Goalkeeper,37,right,Union Berlin,30/06/2023,01/07/2022,Soccertalk GmbH,
255,Jakob Busk,Jakob Busk Jensen,29,1.89,Denmark,Kopenhagen,0.25,0.8,Goalkeeper,12,right,Union Berlin,30/06/2024,15/01/2016,Relatives,
256,Diogo Leite,Diogo Filipe Monteiro Pinto Leite,24,1.9,Portugal,Porto,12,12,Defender - Centre-Back,4,left,Union Berlin,30/06/2023,16/07/2022,,
257,Danilho Doekhi,Danilho Raimundo Doekhi,24,1.9,Netherlands,Rotterdam,12,12,Defender - Centre-Back,5,right,Union Berlin,30/06/2025,01/07/2022,Wasserman,
258,Paul Jaeckel,,24,1.86,Germany,Eisenhüttenstadt,5.5,7.5,Defender - Centre-Back,3,right,Union Berlin,,01/07/2021,Karl M. Herzog ...,adidas
259,Robin Knoche,,30,1.89,Germany,Braunschweig,5,12,Defender - Centre-Back,31,right,Union Berlin,30/06/2024,04/08/2020,Sports360 GmbH,
260,Timo Baumgartl,,27,1.9,Germany,Böblingen,3.5,15,Defender - Centre-Back,25,right,Union Berlin,30/06/2023,01/07/2021,CN Sports,adidas
261,Jérôme Roussillon,,30,1.72,Guadeloupe,Sarcelles,3,20,Defender - Left-Back,26,left,Union Berlin,,12/01/2023,Only Pro Sport,Nike
262,Niko Gießelmann,,31,1.82,Germany,Hannover,2,4,Defender - Left-Back,23,left,Union Berlin,30/06/2023,15/07/2020,SMG GmbH,
263,Josip Juranovic,Josip Juranović,27,1.73,Croatia,Zagreb,9,9,Defender - Right-Back,18,right,Union Berlin,30/06/2027,22/01/2023,FSB – ...,
264,Christopher Trimmel,,36,1.89,Austria,Oberpullendorf,0.8,1.2,Defender - Right-Back,28,right,Union Berlin,30/06/2024,01/07/2014,ROOF,adidas
265,Rani Khedira,,29,1.89,Germany,Stuttgart,8,10,midfield - Defensive Midfield,8,right,Union Berlin,,01/07/2021,NGM SPORTS,
266,Morten Thorsby,,27,1.88,Norway,Oslo,7,7,midfield - Central Midfield,2,right,Union Berlin,30/06/2025,19/07/2022,Pando,adidas
267,Janik Haberer,,29,1.86,Germany,Wangen im Allgäu,7,10,midfield - Central Midfield,19,right,Union Berlin,30/06/2025,01/07/2022,Unique Sports Group,Puma
268,András Schäfer,,24,1.78,Hungary,Szombathely,5,5,midfield - Central Midfield,13,both,Union Berlin,,21/01/2022,EM Sports Consulting,
269,Aïssa Laïdouni,Aïssa Bilal Laïdouni,26,1.81,Tunisia,Montfermeil,4,4,midfield - Central Midfield,20,right,Union Berlin,,27/01/2023,World in Motion,
270,Paul Seguin,,28,1.85,Germany,Magdeburg,3,3,midfield - Central Midfield,14,right,Union Berlin,,01/07/2022,think forward,Nike
271,Levin Öztunali,Levin Mete Öztunali,27,1.84,Germany,Hamburg,1.5,6.5,midfield - Central Midfield,7,right,Union Berlin,,01/07/2021,CAA Stellar,Nike
272,Kevin Möhwald,,29,1.82,Germany,Erfurt,0.7,4,midfield - Central Midfield,30,right,Union Berlin,,30/08/2021,Karl M. Herzog ...,
273,Milos Pantovic,Милош Пантовић,26,1.86,Serbia,München,1.8,2.2,midfield - Attacking Midfield,32,right,Union Berlin,,01/07/2022,ROOF,Puma
274,Tim Maciejewski,Tim Luis Maciejewski,22,1.86,Germany,Berlin,0.35,0.35,Attack - Right Winger,16,right,Union Berlin,30/06/2023,01/07/2020,think forward,
275,Sheraldo Becker,,28,1.8,Suriname,Amsterdam,15,15,Attack - Second Striker,27,right,Union Berlin,30/06/2024,01/07/2019,Sports360 GmbH,
276,Jamie Leweling,,22,1.84,Germany,Nürnberg,3.5,4.5,Attack - Second Striker,40,both,Union Berlin,30/06/2026,01/07/2022,Sports eXcellence ...,Puma
277,Jordan,,27,1.91,United States,"Washington, D. C.",9,10,Attack - Centre-Forward,45,right,Union Berlin,30/06/2026,01/07/2022,,
278,Kevin Behrens,,32,1.85,Germany,Bremen,1.5,1.5,Attack - Centre-Forward,17,both,Union Berlin,30/06/2024,01/07/2021,B O K S,
279,Sven Michel,,32,1.77,Germany,Freudenberg,1.2,1.25,Attack - Centre-Forward,11,left,Union Berlin,30/06/2024,31/01/2022,Karl M. Herzog ...,
280,Rafal Gikiewicz,Rafał Gikiewicz,35,1.9,Poland,Olsztyn,1.2,1.5,Goalkeeper,1,right,FC Augsburg,30/06/2023,01/07/2020,Wasserman,adidas
281,Tomas Koubek,Tomáš Koubek,30,1.97,Czech Republic,Hradec Králové,1,7,Goalkeeper,40,right,FC Augsburg,30/06/2024,06/08/2019,SPORT INVEST,
282,Daniel Klein,,22,1.93,Germany,Heidelberg,0.3,0.3,Goalkeeper,25,right,FC Augsburg,30/06/2025,02/07/2021,Sport Business ...,
283,Benjamin Leneis,,24,1.95,Germany,München,0.15,0.3,Goalkeeper,39,both,FC Augsburg,30/06/2023,24/10/2018,,
284,Felix Uduokhai,Ohis Felix Uduokhai,25,1.92,Germany,Annaberg-Buchholz,10,16,Defender - Centre-Back,19,left,FC Augsburg,30/06/2024,01/07/2020,CN Sports,Nike
285,Reece Oxford,Reece Joel Oxford,24,1.9,England,London,9,12,Defender - Centre-Back,4,right,FC Augsburg,30/06/2025,02/08/2019,CAA Base Ltd,
286,Jeffrey Gouweleeuw,,31,1.87,Netherlands,Heemskerk,3.5,12,Defender - Centre-Back,6,right,FC Augsburg,30/06/2024,09/01/2016,SEG,Under Armour
287,Maximilian Bauer,,23,1.89,Germany,Vilshofen,3.5,3.5,Defender - Centre-Back,23,right,FC Augsburg,30/06/2027,01/07/2022,Robert Schneider,
288,Iago,,26,1.81,Brazil,Monte Azul Paulista,5.5,6.5,Defender - Left-Back,22,left,FC Augsburg,30/06/2024,01/07/2019,C.R,
289,Mads Pedersen,Mads Giersing Valentin Pedersen,26,1.74,Denmark,Hørsholm,2.5,2.5,Defender - Left-Back,3,left,FC Augsburg,30/06/2024,01/07/2019,Nordic Sky,Nike
290,David Colina,David Čolina,22,1.74,Croatia,Zagreb,1.5,1.5,Defender - Left-Back,38,left,FC Augsburg,30/06/2027,14/01/2023,P&P Sport ...,Nike
291,Aaron Zehnter,,18,1.8,Germany,Sonderhofen,0.3,0.3,Defender - Left-Back,42,left,FC Augsburg,30/06/2024,01/07/2022,Karl M. Herzog ...,
292,Robert Gumny,,24,1.82,Poland,Poznań,3.5,5,Defender - Right-Back,2,right,FC Augsburg,30/06/2025,02/09/2020,Fabryka Futbolu,Puma
293,Niklas Dorsch,Niklas Bernd Dorsch,25,1.78,Germany,Lichtenfels,8,10,midfield - Defensive Midfield,30,right,FC Augsburg,30/06/2026,08/07/2021,CN Sports,
294,Renato Veiga,Renato Palma Veiga,19,1.9,Portugal,Lisboa,1,1,midfield - Defensive Midfield,8,left,FC Augsburg,30/06/2023,31/01/2023,Mondo Victory,
295,Tobias Strobl,,32,1.88,Germany,München,0.7,8,midfield - Defensive Midfield,5,right,FC Augsburg,30/06/2023,01/07/2020,CN Sports,
296,Julian Baumgartlinger,,35,1.84,Austria,Salzburg,0.6,6,midfield - Defensive Midfield,14,right,FC Augsburg,30/06/2023,16/08/2022,PRO Profil GmbH,
297,Arne Maier,,24,1.86,Germany,Ludwigsfelde,5.5,24,midfield - Central Midfield,10,right,FC Augsburg,30/06/2025,01/07/2022,11WINS,Puma
298,Elvis Rexhbecaj,Elvis Rexhbeçaj,25,1.82,Germany,"Gjonaj, Prizren",3.5,8,midfield - Central Midfield,13,left,FC Augsburg,30/06/2026,27/07/2022,Soccertalk GmbH,
299,Arne Engels,,19,1.85,Belgium,,3.5,3.5,midfield - Central Midfield,27,right,FC Augsburg,30/06/2027,03/01/2023,Wasserman,
300,Fredrik Jensen,Hans Fredrik Jensen,25,1.83,Finland,Porvoo,2.5,3,midfield - Attacking Midfield,24,right,FC Augsburg,30/06/2025,01/07/2018,V4S,
301,Mert Kömür,,17,1.83,Germany,Dachau,,,midfield - Attacking Midfield,20,both,FC Augsburg U19,30/06/2027,01/07/2022,Agent is known - Player under 18,adidas
302,Rubén Vargas,Rubén Estephan Vargas Martínez,24,1.79,Switzerland,Adligenswil,6,13,Attack - Left Winger,16,right,FC Augsburg,30/06/2025,01/07/2019,IFM,
303,Nathanaël Mbuku,,21,1.7,France,Villeneuve-Saint-Georges,4,9,Attack - Left Winger,34,left,FC Augsburg,30/06/2027,30/01/2023,BS Group - BS Law,
304,André Hahn,,32,1.85,Germany,Otterndorf,2,8,Attack - Right Winger,28,right,FC Augsburg,30/06/2023,01/07/2018,Sports360 GmbH,adidas
305,Noah Joel Sarenren Bazee,,26,1.83,Germany,Celle,0.8,1.5,Attack - Right Winger,17,right,FC Augsburg,30/06/2024,01/07/2019,Rummenigge Sport ...,Puma
306,Daniel Caligiuri,,35,1.82,Italy,Villingen-Schwenningen,0.6,7.5,Attack - Right Winger,20,right,FC Augsburg,30/06/2023,01/07/2020,Caligiuri Sports,
307,Ermedin Demirovic,Ermedin Demirović,25,1.85,Bosnia-Herzegovina,Hamburg,12,12,Attack - Centre-Forward,9,right,FC Augsburg,30/06/2026,08/07/2022,PRO Profil GmbH,Nike
308,Mergim Berisha,,25,1.88,Germany,Berchtesgaden,12,12,Attack - Centre-Forward,11,right,FC Augsburg,30/06/2023,31/08/2022,ROGON,adidas
309,Dion Beljo,Dion Drena Beljo,21,1.95,Croatia,Zagreb,6.5,6.5,Attack - Centre-Forward,7,left,FC Augsburg,30/06/2027,13/01/2023,ROOF,
310,Kelvin Yeboah,Kelvin Kwarteng Yeboah,23,1.85,Italy,Accra,3.5,5.5,Attack - Centre-Forward,45,right,FC Augsburg,30/06/2023,18/01/2023,P&P Sport ...,
311,Irvin Cardona,,25,1.85,France,Nîmes,2.5,8,Attack - Centre-Forward,48,right,FC Augsburg,30/06/2027,18/01/2023,Wasserman,
312,Florian Müller,,25,1.9,Germany,Saarlouis,1.5,10,Goalkeeper,1,left,VfB Stuttgart,30/06/2025,01/07/2021,PRO Profil GmbH,
313,Fabian Bredlow,,28,1.9,Germany,Berlin,1.5,1.5,Goalkeeper,33,both,VfB Stuttgart,30/06/2024,01/07/2019,SEG,
314,Florian Schock,,21,2,Germany,Ostfildern,0.2,0.2,Goalkeeper,42,right,VfB Stuttgart,30/06/2024,07/09/2021,Relatives,
315,Konstantinos Mavropanos,Κωνσταντίνος Μαυροπάνος,25,1.94,Greece,Athens,15,17,Defender - Centre-Back,5,right,VfB Stuttgart,30/06/2025,01/07/2022,Konstantinos Farras,
316,Hiroki Ito,伊藤 洋輝,23,1.88,Japan,"Hamamatsu, Shizuoka",7.5,7.5,Defender - Centre-Back,21,left,VfB Stuttgart,30/06/2025,01/07/2022,Universal Sports ...,
317,Waldemar Anton,Рипцов-Антон Владимир Александрович,26,1.89,Germany,Almalyk,4.5,15,Defender - Centre-Back,2,right,VfB Stuttgart,30/06/2025,28/07/2020,AKA Global GmbH,Puma
